,process,t,T,Cf_N,G_Cf,V_N,CF_N
941,DoE1_R1,7.550459565636354,308.17311898045443,0.1873926691975017,359.6726325328567,2.2195916973675027,1.0221157436321784
942,DoE1_R1,7.558483433400048,308.17308091827925,0.1876241028904989,359.6726325328567,2.221315929393765,1.0236202860156198
943,DoE1_R1,7.5665073011637425,308.1730428166138,0.18785570222841402,359.6726325328567,2.2230428219214957,1.0251266860569663
944,DoE1_R1,7.574531168927437,308.17300468508,0.18808746721124692,359.6726325328567,2.224772378919948,1.0266349450853312
945,DoE1_R1,7.582555036691131,308.1729665332998,0.1883193978389976,359.6726325328567,2.226504604358376,1.0281450644298267
946,DoE1_R1,7.5905789044548255,308.17292837089514,0.18855149411166616,359.6726325328567,2.2282395022060344,1.0296570454195662
947,DoE1_R1,7.59860277221852,308.1728902074881,0.18878375602925257,359.6726325328567,2.2299770764321756,1.0311708893836622
948,DoE1_R1,7.606626639982214,308.17285205270065,0.18901618359175676,359.6726325328567,2.231717331006055,1.032686597651228
949,DoE1_R1,7.614650507745908,308.1728139161548,0.1892487767991788,359.6726325328567,2.2334602698969275,1.0342041715513766
950,DoE1_R1,7.622674375509602,308.17277580747236,0.18948153565151868,359.6726325328567,2.235205897074046,1.0357236124132205
951,DoE1_R1,7.630698243273296,308.1727377362754,0.18971446014877638,359.6726325328567,2.2369542165066645,1.0372449215658732
952,DoE1_R1,7.638722111036991,308.1726997121859,0.18994755029095195,359.6726325328567,2.2387052321640373,1.038768100338447
953,DoE1_R1,7.646745978800685,308.1726617448259,0.19018080607804536,359.6726325328567,2.2404589480154184,1.0402931500600554
954,DoE1_R1,7.654769846564379,308.17262384381735,0.19041422751005657,359.6726325328567,2.2422153680300627,1.0418200720598108
955,DoE1_R1,7.662793714328074,308.17258601878217,0.1906478145869856,359.6726325328567,2.243974496177224,1.0433488676668263
956,DoE1_R1,7.670817582091768,308.1725482793424,0.1908815673088325,359.6726325328567,2.2457363364261558,1.044879538210215
957,DoE1_R1,7.6788414498554625,308.1725106351199,0.19111548567559722,359.6726325328567,2.2475008927461126,1.0464120850190897
958,DoE1_R1,7.686865317619157,308.1724730957368,0.19134956968727976,359.6726325328567,2.2492681691063483,1.0479465094225628
959,DoE1_R1,7.694889185382851,308.1724356708151,0.19158381934388016,359.6726325328567,2.251038169476117,1.0494828127497484
960,DoE1_R1,7.7029130531465455,308.1723983699766,0.1918182346453984,359.6726325328567,2.2528108978246726,1.0510209963297583
961,DoE1_R1,7.71093692091024,308.1723612028433,0.19205281559183443,359.6726325328567,2.2545863581212706,1.0525610614917058
962,DoE1_R1,7.718960788673934,308.17232417903733,0.19228756218318835,359.6726325328567,2.2563645543351636,1.0541030095647042
963,DoE1_R1,7.7269846564376286,308.1722873081806,0.1925224744194601,359.6726325328567,2.258145490435607,1.0556468418778657
964,DoE1_R1,7.735008524201323,308.1722505998951,0.19275755230064967,359.6726325328567,2.259929170391853,1.0571925597603038
965,DoE1_R1,7.743032391965017,308.17221406380264,0.19299279582675705,359.6726325328567,2.2617155981731565,1.0587401645411307
966,DoE1_R1,7.751056259728712,308.17217770952544,0.19322820499778232,359.6726325328567,2.263504777748773,1.0602896575494605
967,DoE1_R1,7.759080127492406,308.17214154668545,0.19346377981372537,359.6726325328567,2.2652967130879547,1.0618410401144052
968,DoE1_R1,7.7671039952561,308.17210558490444,0.19369952027458626,359.6726325328567,2.2670914081599567,1.0633943135650779
969,DoE1_R1,7.775127863019795,308.1720698338046,0.193935426380365,359.6726325328567,2.268888866934033,1.0649494792305914
970,DoE1_R1,7.783151730783489,308.17203430300776,0.19417149813106158,359.6726325328567,2.270689093379438,1.066506538440059
971,DoE1_R1,7.791175598547183,308.1719990021361,0.19440773552667598,359.6726325328567,2.2724920914654247,1.068065492522593
972,DoE1_R1,7.799199466310878,308.17196394081134,0.19464413856720822,359.6726325328567,2.2742978651612478,1.0696263428073072
973,DoE1_R1,7.807223334074572,308.1719291286557,0.19488070725265827,359.6726325328567,2.2761064184361617,1.0711890906233137
974,DoE1_R1,7.815247201838266,308.171894575291,0.19511744158302616,359.6726325328567,2.2779177552594203,1.0727537372997258
975,DoE1_R1,7.823271069601961,308.17186029033917,0.19535434155831188,359.6726325328567,2.279731879600278,1.0743202841656565
976,DoE1_R1,7.831294937365655,308.17182628342226,0.1955914071785155,359.6726325328567,2.2815487954279887,1.0758887325502187
977,DoE1_R1,7.839318805129349,308.1717925641624,0.1958286384436369,359.6726325328567,2.2833685067118057,1.0774590837825249
978,DoE1_R1,7.847342672893044,308.1717591421814,0.19606603535367612,359.6726325328567,2.285191017420984,1.0790313391916881
979,DoE1_R1,7.855366540656737,308.1717260271012,0.19630359790863314,359.6726325328567,2.287016331524778,1.0806055001068215
980,DoE1_R1,7.863390408420432,308.1716932285439,0.19654132610850808,359.6726325328567,2.2888444529924405,1.0821815678570383
981,DoE1_R1,7.871414276184126,308.1716607561314,0.1967792199533008,359.6726325328567,2.290675385793227,1.083759543771451
982,DoE1_R1,7.87943814394782,308.1716286194857,0.19701727944301134,359.6726325328567,2.2925091338963908,1.0853394291791725
983,DoE1_R1,7.887462011711515,308.1715968282288,0.19725550457763977,359.6726325328567,2.294345701271186,1.0869212254093155
984,DoE1_R1,7.895485879475209,308.17156539198277,0.197493895357186,359.6726325328567,2.2961850918868674,1.0885049337909936
985,DoE1_R1,7.903509747238903,308.17153432036935,0.1977324517816501,359.6726325328567,2.298027309712688,1.090090555653319
986,DoE1_R1,7.911533615002598,308.1715036230107,0.197971173851032,359.6726325328567,2.299872358717903,1.091678092325405
987,DoE1_R1,7.919557482766292,308.17147330952866,0.19821006156533172,359.6726325328567,2.301720242871766,1.0932675451363647
988,DoE1_R1,7.927581350529986,308.1714433895454,0.19844911492454928,359.6726325328567,2.303570966143531,1.0948589154153106
989,DoE1_R1,7.935605218293681,308.1714138726827,0.19868833392868476,359.6726325328567,2.3054245325024523,1.0964522044913563
990,DoE1_R1,7.943629086057375,308.17138476856263,0.198927718577738,359.6726325328567,2.307280945917784,1.0980474136936134
991,DoE1_R1,7.951652953821069,308.1713560868073,0.1991672688717091,359.6726325328567,2.3091402103587804,1.099644544351196
992,DoE1_R1,7.959676821584764,308.1713278370384,0.199406984810598,359.6726325328567,2.3110023297946944,1.101243597793217
993,DoE1_R1,7.967700689348458,308.1713000288782,0.1996468663944047,359.6726325328567,2.3128673081947815,1.102844575348788
994,DoE1_R1,7.9757245571121524,308.1712726719485,0.1998869136231293,359.6726325328567,2.3147351495282957,1.1044474783470235
995,DoE1_R1,7.983748424875847,308.1712457758712,0.2001271264967717,359.6726325328567,2.316605857764491,1.1060523081170355
996,DoE1_R1,7.991772292639541,308.17121935026853,0.20036750501533196,359.6726325328567,2.3184794368726207,1.1076590659879377
997,DoE1_R1,7.9997961604032355,308.1711934047623,0.20060804917881,359.6726325328567,2.320355890821939,1.1092677532888422
998,DoE1_R1,8.007820028166929,308.17116794897447,0.20084875898720592,359.6726325328567,2.3222352235817003,1.1108783713488621
999,DoE1_R1,8.015843895930624,308.1711429925271,0.2010896344405197,359.6726325328567,2.3241174391211596,1.1124909214971108
1000,DoE1_R1,8.023867763694318,308.1711185450421,0.20133067553875125,359.6726325328567,2.3260025414095695,1.1141054050627002
1001,DoE1_R1,8.031891631458013,308.17109461614154,0.20157188228190068,359.6726325328567,2.327890534416186,1.1157218233747448
1002,DoE1_R1,8.039915499221706,308.1710712154474,0.2018132546699679,359.6726325328567,2.3297814221102615,1.117340177762356
1003,DoE1_R1,8.047939366985402,308.1710483525815,0.202054792702953,359.6726325328567,2.331675208461051,1.1189604695546473
1004,DoE1_R1,8.055963234749095,308.171026037166,0.20229649638085592,359.6726325328567,2.333571897437807,1.120582700080732
1005,DoE1_R1,8.06398710251279,308.1710042788227,0.20253836570367673,359.6726325328567,2.335471493009786,1.1222068706697224
1006,DoE1_R1,8.072010970276484,308.17098308717374,0.20278040067141526,359.6726325328567,2.3373739991462408,1.1238329826507316
1007,DoE1_R1,8.080034838040179,308.170962471841,0.20302260128407174,359.6726325328567,2.339279419816426,1.125461037352873
1008,DoE1_R1,8.088058705803872,308.17094244244646,0.2032649675416459,359.6726325328567,2.3411877589895944,1.1270910361052584
1009,DoE1_R1,8.096082573567568,308.17092300861225,0.20350749944413807,359.6726325328567,2.3430990206350018,1.1287229802370022
1010,DoE1_R1,8.104106441331261,308.1709041799601,0.20375019699154795,359.6726325328567,2.345013208721901,1.1303568710772158
1011,DoE1_R1,8.112130309094956,308.1708859661122,0.20399306018387572,359.6726325328567,2.346930327219547,1.1319927099550136
1012,DoE1_R1,8.12015417685865,308.17086837669035,0.2042360890211213,359.6726325328567,2.3488503800971934,1.1336304981995071
1013,DoE1_R1,8.128178044622345,308.1708514213167,0.20447928350328473,359.6726325328567,2.3507733713240944,1.1352702371398105
1014,DoE1_R1,8.136201912386039,308.1708351096131,0.20472264363036596,359.6726325328567,2.352699304869505,1.1369119281050353
1015,DoE1_R1,8.144225780149734,308.1708194512016,0.2049661694023651,359.6726325328567,2.3546281847026775,1.138555572424296
1016,DoE1_R1,8.152249647913427,308.1708044557041,0.205209860819282,359.6726325328567,2.3565600147928674,1.1402011714267042
1017,DoE1_R1,8.160273515677122,308.1707901327427,0.20545371788111677,359.6726325328567,2.358494799109329,1.1418487264413735
1018,DoE1_R1,8.168297383440816,308.1707764919393,0.20569774058786933,359.6726325328567,2.360432541621314,1.1434982387974166
1019,DoE1_R1,8.176321251204511,308.1707635429159,0.21418073728362172,359.6726325328567,2.3616874927905944,1.1909619882322466
1020,DoE1_R1,8.184345118968205,308.1707512952944,0.21443486678224769,359.6726325328567,2.3616874927905944,1.1926815655812963
1021,DoE1_R1,8.1923689867319,308.17073975869687,0.21468916855249806,359.6726325328567,2.363237800457575,1.1944031827229804
1022,DoE1_R1,8.200392854495593,308.17072894274526,0.21494364259437282,359.6726325328567,2.365226672067798,1.1961268410395836
1023,DoE1_R1,8.208416722259289,308.17071885706156,0.21519828890787202,359.6726325328567,2.3672167443913805,1.1978525419133903
1024,DoE1_R1,8.216440590022982,308.1707095112678,0.21545310749299557,359.6726325328567,2.3692080250993777,1.1995802867266852
1025,DoE1_R1,8.224464457786675,308.17070091498573,0.21570809834974344,359.6726325328567,2.3712005218628494,1.2013100768617528
1026,DoE1_R1,8.23248832555037,308.1706930778376,0.21596326147811584,359.6726325328567,2.3731942423528527,1.2030419137008794
1027,DoE1_R1,8.240512193314064,308.17068600944526,0.21621859687811254,359.6726325328567,2.375189194240445,1.204775798626348
