var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,nX,nP,nM,set
-1.813315e-07,0.56925124,0.76266074,0.829552,7.641252,0.0,0.0,0.11352946,0.6744889,0.46464646,1.112811,0.9999999,0.44773746,0.22386922,0.32839337,set_1
-3.833774e-07,0.88337255,1.0617893,0.92811704,4.000274,0.0,0.0,0.11352946,0.6744889,0.78787875,1.0337013,0.9999999,0.41344854,0.24288994,0.34366158,set_1
-3.7051933e-07,0.9889188,1.1461728,0.9632531,2.944639,0.0,0.0,0.11352946,0.6744889,0.9090909,1.005552,0.9999999,0.37472218,0.2496879,0.37558994,set_1
-3.4578412e-07,1.0561209,1.192083,0.9861484,2.3439963,0.0,0.0,0.11352946,0.6744889,0.989899,0.9873282,0.9999999,0.33275753,0.25475708,0.41248542,set_1
-3.8411522e-07,1.3678075,1.26727,1.0893601,0.812663,0.0,0.0,0.11352946,0.6744889,1.3737373,0.9057464,0.9999999,0.09482853,0.2600713,0.6451002,set_1
-2.332336e-07,1.4988949,1.2481742,1.1352456,0.60328305,0.0,0.0,0.11352946,0.6744889,1.5555555,0.8700615,0.9999999,0.055019017,0.25078377,0.6941972,set_1
0.0,0.0,0.11385198,0.6744889,15.5798,0.0,0.0,0.11385198,0.6744889,0.0,1.237127,0.9999999,0.4549482,0.19590196,0.34914985,set_1
-1.9245859e-07,0.24624328,0.4068749,0.7371308,11.981775,0.0,0.0,0.11385198,0.6744889,0.18181817,1.187011,0.9999999,0.45388708,0.20591904,0.34019387,set_1
-1.9393684e-07,0.61100924,0.8064262,0.8422795,7.114601,0.0,0.0,0.11385198,0.6744889,0.5050505,1.1025587,0.9999999,0.44592464,0.22644864,0.32762673,set_1
-1.9787353e-07,0.7118571,0.90647906,0.87357634,5.898246,0.0,0.0,0.11385198,0.6744889,0.60606056,1.0774199,0.9999999,0.4393966,0.23264095,0.3279625,set_1
-1.757951e-07,0.9152229,1.0937593,0.9399411,3.6136403,0.0,0.0,0.11385198,0.6744889,0.8282828,1.024189,0.9999999,0.4028528,0.24506949,0.3520777,set_1
