var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,nX,nP,nM,set
-6.853803e-09,0.8229813,0.84056246,0.88608235,0.0,0.0,0.5063591,0.8231444,0.54255754,0.9964489,0.39096665,0.9784634,0.259094,0.18681571,0.5540903,set_1
-9.121396e-08,0.8416386,0.84688157,0.8891629,0.0,0.0,0.5063591,0.8231444,0.5654446,0.9965508,0.39618942,0.9784634,0.2579332,0.18580681,0.55626,set_1
-1.1475085e-07,0.8493304,0.8494874,0.8904413,0.0,0.0,0.5063591,0.8231444,0.5748687,0.99644023,0.3983679,0.9784634,0.25744832,0.1853886,0.55716306,set_1
-1.2507854e-07,0.85812753,0.8524681,0.8919094,0.0,0.0,0.5063591,0.8231444,0.58563906,0.996254,0.40087757,0.9784634,0.25689116,0.18490858,0.55820024,set_1
0.0,1.8771199,1.0996878,1.0800928,0.0,0.0,0.5457262,0.8231444,1.5442022,0.9963181,0.79542017,0.9784634,0.19533876,0.1326457,0.67201555,set_1
1.2496572e-07,1.9031641,1.1093645,1.0889348,0.0,0.0,0.5457262,0.8231444,1.5792059,0.99636,0.8116327,0.9784634,0.19366772,0.13054821,0.67578405,set_1
2.12084e-07,1.94209,1.123493,1.1019027,0.0,0.0,0.5457262,0.8231444,1.6330577,0.9963499,0.83706737,0.9784634,0.19116451,0.12731977,0.6815157,set_1
-2.1163092e-07,1.9882388,1.1424732,1.1219981,0.0,0.0,0.5457262,0.8231444,1.69768,0.99653465,0.8683765,0.9784634,0.18814658,0.12342494,0.6884285,set_1
-2.308278e-07,2.003925,1.1486062,1.128439,0.0,0.0,0.5457262,0.8231444,1.7205671,0.99637586,0.91102153,0.9784634,0.18621401,0.11963807,0.69414794,set_1
-2.4620272e-07,2.0103133,1.1511174,1.1311163,0.0,0.0,0.5457262,0.8231444,1.7299911,0.9963132,0.9158705,0.9784634,0.1857887,0.11906822,0.6951431,set_1
-2.5404307e-07,2.017562,1.1539745,1.1341894,0.0,0.0,0.5457262,0.8231444,1.7407615,0.99626184,0.92143524,0.9784634,0.1853061,0.11841713,0.6962768,set_1
0.0,1.3172394,0.81316286,0.9326065,0.0,0.0,0.5421052,0.8231444,0.84412795,0.99675214,0.48603502,0.9784634,0.23380175,0.17708048,0.58911777,set_1
1.4178946e-07,1.3467624,0.8236989,0.93845826,0.0,0.0,0.5421052,0.8231444,0.87913173,0.9963326,0.49639413,0.9784634,0.23196208,0.17526841,0.5927695,set_1
2.5848476e-07,1.3906535,0.8391893,0.94712967,0.0,0.0,0.5421052,0.8231444,0.9329836,0.99616724,0.51278776,0.9784634,0.22922495,0.17242594,0.5983491,set_1
-1.2247472e-07,1.4478629,0.86017156,0.9595993,0.0,0.0,0.5421052,0.8231444,0.9976058,0.9964601,0.5331904,0.9784634,0.22573012,0.16899845,0.6052714,set_1
-2.4930634e-07,1.4683064,0.86772346,0.9641994,0.0,0.0,0.5421052,0.8231444,1.0204928,0.99666417,0.54060745,0.9784634,0.22448689,0.16777135,0.6077418,set_1
-2.5279124e-07,1.4763186,0.8706329,0.9659647,0.0,0.0,0.5421052,0.8231444,1.0299169,0.9965816,0.5647684,0.9784634,0.22332244,0.1651581,0.6115195,set_1
-2.4701754e-07,1.4854872,0.87396854,0.9680017,0.0,0.0,0.5421052,0.8231444,1.0406873,0.99642026,0.5684501,0.9784634,0.22274557,0.16456538,0.6126891,set_1
0.0,0.40552947,0.6014834,0.84684545,0.0,0.0,0.54916394,0.8231444,0.22348525,0.99635047,0.31548294,0.9784634,0.28293347,0.2023862,0.5146803,set_1
-6.1135424e-08,0.43298078,0.6112549,0.8509965,0.0,0.0,0.54916394,0.8231444,0.25848895,0.9963968,0.3212289,0.9784634,0.2812921,0.20112438,0.5175835,set_1
