,process,t,Cf_N,G_Cf,V_N,CF_N
72,exp4,13.950000000000001,0.0137282886445717,339.9,0.7136007730993191,0.21360077309931935
73,exp4,15.5,0.013420393847215304,339.9,0.7346399820346946,0.23463998203469455
74,exp4,17.05,0.013120395791224877,339.9,0.7552080740087259,0.2552080740087259
75,exp4,18.6,0.012828294476600418,339.9,0.7753172889705308,0.27531728897053076
76,exp4,20.150000000000002,0.012544089903341934,339.9,0.7949798668692264,0.29497986686922634
77,exp4,21.7,0.012267782071449417,339.9,0.8142080476539297,0.31420804765392973
78,exp4,23.25,0.011999370980922873,339.9,0.8330140712737586,0.3330140712737586
79,exp4,24.8,0.011738856631762298,339.9,0.8514101776778297,0.3514101776778298
80,exp4,26.35,0.011486239023967695,339.9,0.8694086068152607,0.3694086068152607
81,exp4,27.900000000000002,0.011241518157539062,339.9,0.8870215986351686,0.3870215986351687
82,exp4,29.45,0.011004694032476404,339.9,0.9042613930866708,0.404261393086671
83,exp4,31.0,0.010775766648779713,339.9,0.9211402301188846,0.4211402301188847
84,exp5,0.0,0.01714705318386078,339.9,0.5013187530271608,0.0013187530271606062
85,exp5,1.55,0.016692494967297748,339.9,0.5275422708418444,0.027542270841844275
86,exp5,3.1,0.016254442576263933,339.9,0.5530740154356404,0.05307401543564039
87,exp5,4.65,0.01583289601075934,339.9,0.5779395708381194,0.07793957083811925
88,exp5,6.2,0.015427855270783965,339.9,0.6021645210788512,0.10216452107885111
89,exp5,7.75,0.015039320356337807,339.9,0.6257744501874064,0.1257744501874063
90,exp5,9.3,0.014667291267420866,339.9,0.6487949421933551,0.14879494219335507
91,exp5,10.85,0.014311768004033146,339.9,0.6712515811262677,0.17125158112626773
92,exp5,12.4,0.013972750566174644,339.9,0.6931699510157148,0.1931699510157146
93,exp5,13.950000000000001,0.013650238953845359,339.9,0.7145756358912658,0.21457563589126585
94,exp5,15.5,0.013344233167045295,339.9,0.7354942197824921,0.23549421978249196
95,exp5,17.05,0.01305473320577445,339.9,0.7559512867189632,0.25595128671896306
96,exp5,18.6,0.01278173907003282,339.9,0.7759724207302495,0.2759724207302496
97,exp5,20.150000000000002,0.012525250759820411,339.9,0.7955832058459217,0.2955832058459216
98,exp5,21.7,0.01228526827513722,339.9,0.8148092260955495,0.31480922609554957
99,exp5,23.25,0.012061791615983248,339.9,0.8336760655087038,0.33367606550870377
100,exp5,24.8,0.011854820782358493,339.9,0.8522093081149543,0.3522093081149544
101,exp5,26.35,0.011664355774262957,339.9,0.8704345379438717,0.3704345379438718
102,exp5,27.900000000000002,0.01149039659169664,339.9,0.8883773390250262,0.38837733902502636
103,exp5,29.45,0.011332943234659543,339.9,0.9060632953879881,0.4060632953879882
104,exp5,31.0,0.011191995703151662,339.9,0.9235179910623277,0.4235179910623277
105,exp6,0.0,0.017147053183860922,339.9,0.5013187530271613,0.0013187530271614003
106,exp6,1.55,0.016692494967297817,339.9,0.5275422708418452,0.02754227084184523
107,exp6,3.1,0.016254442576263937,339.9,0.5530740154356415,0.0530740154356414
108,exp6,4.65,0.01583289601075929,339.9,0.5779395708381203,0.07793957083812021
