,process,t,Cf_N,G_Cf,V_N,CF_N
108,exp6_aug_08,4.65,0.0158328960107592,339.9,0.5779395708381203,0.0779395708381202
109,exp6_aug_08,6.2,0.0154278552707838,339.9,0.6021645210788521,0.1021645210788519
110,exp6_aug_08,7.75,0.0150393203563376,339.9,0.6257744501874072,0.1257744501874069
111,exp6_aug_08,9.3,0.0146672912674207,339.9,0.6487949421933558,0.1487949421933555
112,exp6_aug_08,10.85,0.0143117680040329,339.9,0.671251581126268,0.1712515811262679
113,exp6_aug_08,12.4,0.0139727505661744,339.9,0.6931699510157149,0.1931699510157145
114,exp6_aug_08,13.95,0.0136502389538452,339.9,0.7145756358912655,0.2145756358912655
115,exp6_aug_08,15.5,0.0133442331670451,339.9,0.7354942197824916,0.2354942197824914
116,exp6_aug_08,17.05,0.0130547332057743,339.9,0.7559512867189625,0.2559512867189624
117,exp6_aug_08,18.6,0.0127817390700327,339.9,0.7759724207302487,0.2759724207302486
118,exp6_aug_08,20.15,0.0125252507598203,339.9,0.7955832058459207,0.2955832058459207
119,exp6_aug_08,21.7,0.0122852682751372,339.9,0.8148092260955486,0.3148092260955486
120,exp6_aug_08,23.25,0.0120617916159833,339.9,0.833676065508703,0.3336760655087029
121,exp6_aug_08,24.8,0.0118548207823586,339.9,0.8522093081149537,0.3522093081149537
122,exp6_aug_08,26.35,0.0116643557742632,339.9,0.8704345379438714,0.3704345379438715
123,exp6_aug_08,27.9,0.011490396591697,339.9,0.8883773390250265,0.3883773390250266
124,exp6_aug_08,29.45,0.01133294323466,339.9,0.906063295387989,0.4060632953879891
125,exp6_aug_08,31.0,0.0111919957031522,339.9,0.9235179910623296,0.4235179910623294
105,exp6_aug_09,0.0,0.0171470531838609,339.9,0.5013187530271613,0.0013187530271614
106,exp6_aug_09,1.55,0.0166924949672978,339.9,0.5275422708418452,0.0275422708418452
107,exp6_aug_09,3.1,0.0162544425762639,339.9,0.5530740154356415,0.0530740154356414
108,exp6_aug_09,4.65,0.0158328960107592,339.9,0.5779395708381203,0.0779395708381202
109,exp6_aug_09,6.2,0.0154278552707838,339.9,0.6021645210788521,0.1021645210788519
110,exp6_aug_09,7.75,0.0150393203563376,339.9,0.6257744501874072,0.1257744501874069
111,exp6_aug_09,9.3,0.0146672912674207,339.9,0.6487949421933558,0.1487949421933555
112,exp6_aug_09,10.85,0.0143117680040329,339.9,0.671251581126268,0.1712515811262679
113,exp6_aug_09,12.4,0.0139727505661744,339.9,0.6931699510157149,0.1931699510157145
114,exp6_aug_09,13.95,0.0136502389538452,339.9,0.7145756358912655,0.2145756358912655
115,exp6_aug_09,15.5,0.0133442331670451,339.9,0.7354942197824916,0.2354942197824914
116,exp6_aug_09,17.05,0.0130547332057743,339.9,0.7559512867189625,0.2559512867189624
117,exp6_aug_09,18.6,0.0127817390700327,339.9,0.7759724207302487,0.2759724207302486
118,exp6_aug_09,20.15,0.0125252507598203,339.9,0.7955832058459207,0.2955832058459207
119,exp6_aug_09,21.7,0.0122852682751372,339.9,0.8148092260955486,0.3148092260955486
120,exp6_aug_09,23.25,0.0120617916159833,339.9,0.833676065508703,0.3336760655087029
121,exp6_aug_09,24.8,0.0118548207823586,339.9,0.8522093081149537,0.3522093081149537
122,exp6_aug_09,26.35,0.0116643557742632,339.9,0.8704345379438714,0.3704345379438715
123,exp6_aug_09,27.9,0.011490396591697,339.9,0.8883773390250265,0.3883773390250266
124,exp6_aug_09,29.45,0.01133294323466,339.9,0.906063295387989,0.4060632953879891
125,exp6_aug_09,31.0,0.0111919957031522,339.9,0.9235179910623296,0.4235179910623294
105,exp6_aug_10,0.0,0.0171470531838609,339.9,0.5013187530271613,0.0013187530271614
106,exp6_aug_10,1.55,0.0166924949672978,339.9,0.5275422708418452,0.0275422708418452
107,exp6_aug_10,3.1,0.0162544425762639,339.9,0.5530740154356415,0.0530740154356414
108,exp6_aug_10,4.65,0.0158328960107592,339.9,0.5779395708381203,0.0779395708381202
109,exp6_aug_10,6.2,0.0154278552707838,339.9,0.6021645210788521,0.1021645210788519
110,exp6_aug_10,7.75,0.0150393203563376,339.9,0.6257744501874072,0.1257744501874069
111,exp6_aug_10,9.3,0.0146672912674207,339.9,0.6487949421933558,0.1487949421933555
112,exp6_aug_10,10.85,0.0143117680040329,339.9,0.671251581126268,0.1712515811262679
113,exp6_aug_10,12.4,0.0139727505661744,339.9,0.6931699510157149,0.1931699510157145
114,exp6_aug_10,13.95,0.0136502389538452,339.9,0.7145756358912655,0.2145756358912655
115,exp6_aug_10,15.5,0.0133442331670451,339.9,0.7354942197824916,0.2354942197824914
116,exp6_aug_10,17.05,0.0130547332057743,339.9,0.7559512867189625,0.2559512867189624
117,exp6_aug_10,18.6,0.0127817390700327,339.9,0.7759724207302487,0.2759724207302486
118,exp6_aug_10,20.15,0.0125252507598203,339.9,0.7955832058459207,0.2955832058459207
119,exp6_aug_10,21.7,0.0122852682751372,339.9,0.8148092260955486,0.3148092260955486
120,exp6_aug_10,23.25,0.0120617916159833,339.9,0.833676065508703,0.3336760655087029
121,exp6_aug_10,24.8,0.0118548207823586,339.9,0.8522093081149537,0.3522093081149537
122,exp6_aug_10,26.35,0.0116643557742632,339.9,0.8704345379438714,0.3704345379438715
123,exp6_aug_10,27.9,0.011490396591697,339.9,0.8883773390250265,0.3883773390250266
124,exp6_aug_10,29.45,0.01133294323466,339.9,0.906063295387989,0.4060632953879891
125,exp6_aug_10,31.0,0.0111919957031522,339.9,0.9235179910623296,0.4235179910623294
126,exp7_aug_01,0.0,0.0162541701586158,339.9,0.5012571700723294,0.0012571700723291
127,exp7_aug_01,1.55,0.0159384510463784,339.9,0.526205922954631,0.0262059229546309
128,exp7_aug_01,3.1,0.0156268239462863,339.9,0.5506684825223774,0.0506684825223774
129,exp7_aug_01,4.65,0.0153192888583393,339.9,0.5746511913943936,0.0746511913943935
130,exp7_aug_01,6.2,0.0150158457825375,339.9,0.5981603921895043,0.0981603921895044
131,exp7_aug_01,7.75,0.0147164947188809,339.9,0.6212024275265351,0.121202427526535
132,exp7_aug_01,9.3,0.0144212356673695,339.9,0.6437836400243103,0.1437836400243104
133,exp7_aug_01,10.85,0.0141300686280033,339.9,0.6659103723016555,0.1659103723016557
134,exp7_aug_01,12.4,0.0138429936007823,339.9,0.6875889669773959,0.1875889669773959
135,exp7_aug_01,13.95,0.0135600105857065,339.9,0.7088257666703558,0.208825766670356
136,exp7_aug_01,15.5,0.0132811195827758,339.9,0.7296271139993611,0.2296271139993611
137,exp7_aug_01,17.05,0.0130063205919904,339.9,0.7499993515832362,0.2499993515832362
